CITY,LOCALITY,NEIGHBOURHOOD,LATITUDE,LONGITUDE
LONDON,CAMDEN,Belsize Park,51.545045,-0.165609
LONDON,CAMDEN,Bloomsbury,51.526342,-0.120229
LONDON,CAMDEN,Camden Town,51.544545,-0.133901
LONDON,CAMDEN,Chalk Farm,51.543966,-0.154115
LONDON,CAMDEN,Fitzrovia,51.51853,-0.137848
LONDON,CAMDEN,Frognal,51.552593,-0.188385
LONDON,CAMDEN,Gospel Oak,51.55376,-0.147949
LONDON,CAMDEN,Hampstead,51.554212,-0.176781
LONDON,CAMDEN,Highgate,51.571734,-0.147219
LONDON,CAMDEN,Holborn,51.517355,-0.120599
LONDON,CAMDEN,Kentish Town,51.544774,-0.148314
LONDON,CAMDEN,Primrose Hill,51.538551,-0.152893
LONDON,CAMDEN,Somerstown,51.526572,-0.134636
LONDON,CAMDEN,St Giles,51.517355,-0.120599
LONDON,CAMDEN,St Pancras,51.526342,-0.120229
LONDON,CAMDEN,Swiss Cottage,51.542507,-0.175806
LONDON,CAMDEN,West Hampstead,51.554435,-0.191197
