CITY,LOCALITY,NEIGHBOURHOOD,LATITUDE,LONGITUDE
SYDNEY,CITY OF SYDNEY,Broadway,-33.883514,151.200287
SYDNEY,CITY OF SYDNEY,Central,-33.885746,151.204895
SYDNEY,CITY OF SYDNEY,Central Park,-33.885256,151.200317
SYDNEY,CITY OF SYDNEY,Chinatown,-33.878502,151.204453
SYDNEY,CITY OF SYDNEY,Circular Quay,-33.862087,151.211
SYDNEY,CITY OF SYDNEY,Darling Harbour,-33.873585,151.200485
SYDNEY,CITY OF SYDNEY,The Domain,-33.868187,151.215057
SYDNEY,CITY OF SYDNEY,East Sydney,-33.875622,151.214615
SYDNEY,CITY OF SYDNEY,Garden Island,-33.866,151.225388
SYDNEY,CITY OF SYDNEY,Goat Island,-33.852329,151.196564
SYDNEY,CITY OF SYDNEY,Green Square,-33.906,151.203
SYDNEY,CITY OF SYDNEY,Kings Cross,-33.87373,151.22357
SYDNEY,CITY OF SYDNEY,Macdonaldtown,-33.896053,151.184326
SYDNEY,CITY OF SYDNEY,Railway Square,-33.8829,151.204193
SYDNEY,CITY OF SYDNEY,Strawberry Hills,-33.890141,151.208099
SYDNEY,CITY OF SYDNEY,St James,-33.879631,151.185104
SYDNEY,CITY OF SYDNEY,Wynyard,-33.866798,151.20575
